"id","facebook_id","name","latitude","longitude"
"89","110419212320033","Indianapolis, Indiana","39.790901","-86.147697"
"90","109258422433990","Kerteminde","55.450001","10.666700"
"91","112053725477190","Enola, Pennsylvania","40.290237","-76.934578"
"92","103808922990912","Covington, Georgia","33.596699","-83.860298"
"93","107680559254816","Allendale, Michigan","42.983200","-85.944603"
"94","107582152598459","Bolton","53.578499","-2.429900"
"95","107279779292754","Tamarac, Florida","26.203600","-80.246399"
"96","106505586052951","Stockholm, Sweden","59.349998","18.066700"
"97","108226749199677","Keeseville, New York","44.503613","-73.481110"
"98","110970792260960","Los Angeles, California","34.049999","-118.250000"
"99","108003255895109","Veszprém","47.099998","17.916700"
"100","111762725508574","Dallas, Texas","32.782799","-96.803902"
"101","113521575324996","Mantorp","58.352428","15.285588"
"102","106095402754175","Lebanon, Indiana","40.052223","-86.471664"
"103","104051392965209","Kaunas","54.900002","23.933300"
"104","106019999429184","Atlantic Beach, Florida","30.334749","-81.408821"
"105","115504291797975","Athens, Greece","37.966702","23.716700"
"106","110519355635992","Cheltenham, Gloucestershire","51.896400","-2.078300"
"107","112438218775062","Baltimore, Maryland","39.283298","-76.616699"
"108","106012156106461","Istanbul, Turkey","41.018600","28.964701"
"109","109759409049634","Intercourse, Pennsylvania","40.037498","-76.105301"
"110","108850959137224","Grenada City, Saint George, Grenada","12.050000","-61.750000"
"111","104028629632792","Kennesaw, Georgia","34.023300","-84.615601"
"112","112351642110180","Conway, Arkansas","35.087337","-92.453316"
"113","102184499823699","Montreal, Quebec","45.500000","-73.583298"
"114","112454482100538","Billings, Montana","45.786598","-108.537003"
"115","109454912411747","Ladle Cove, Newfoundland And Labrador","49.450001","-54.049999"
"116","110297742331680","San Antonio, Texas","29.416700","-98.500000"
"117","108424279189115","New York, New York","40.716702","-74.000000"
"118","136553676370447","Neemuch, India","24.464199","74.871399"
"119","105527682814769","McKinney, Texas","33.197201","-96.639702"
"120","110336235655106","Jeddah, Saudi Arabia","21.543333","39.172779"
"121","106031246101831","Kuala Lumpur, Malaysia","3.166670","101.699997"
"122","106517799384578","New Delhi, India","28.613899","77.208900"
"123","108151539218136","Johannesburg, Gauteng","-26.204399","28.045601"
"124","106502519386806","Budapest, Hungary","47.471901","19.050301"
"125","108600142498015","Santa Venetia, California","38.008900","-122.517998"
"126","105570156143625","Taylors, South Carolina","34.913334","-82.310837"
"127","108104849224069","Lahore, Pakistan","31.549700","74.343597"
"128","113105982037263","Reno, Nevada","39.527100","-119.821999"
"129","108167739211442","Gaithersburg, Maryland","39.132000","-77.226402"
"130","110774245616525","Paris, France","48.856701","2.350800"
"131","104017962968130","North Bay, Ontario","46.299999","-79.449997"
"132","101883206519751","Singapore, Singapore","1.293060","103.856003"
"133","111985635484590","Cochranton, Pennsylvania","41.520000","-80.048599"
"134","108562619164403","Manipal","13.349350","74.790062"
"135","105577752810387","Roodepoort, Gauteng","-26.166700","27.866699"
"136","105681149465455","Iowa City, Iowa","41.655800","-91.525002"
"137","106083456090237","Delta, British Columbia","49.019199","-123.086998"
"138","105980979433344","Jõgeva","58.746700","26.393900"
"139","108534305837795","Clarksville, Tennessee","36.529701","-87.359200"
"140","104057349631401","Chapel Hill, North Carolina","35.925900","-79.039497"
"141","114897945188014","Mexico City, Mexico","19.433300","-99.133301"
"142","103095296397919","Largo, Florida","27.906143","-82.785370"
"143","113317605345751","Hong Kong","22.283300","114.150002"
"144","114477788569282","Giza, Egypt","30.008600","31.212200"
"145","111070818917271","Dubai, United Arab Emirates","25.252199","55.279999"
"146","108450559178997","Columbus, Ohio","39.979790","-82.985153"
"147","105947186102996","Waynesville, Missouri","37.820202","-92.213699"
"148","107624535933778","London, Ontario","42.983299","-81.250000"
"149","114747201876025","Poole, Dorset","50.716702","-2.000000"
"150","108581482500410","Fort Myers, Florida","26.631800","-81.857101"
"151","111822758834362","Marietta, Georgia","33.952499","-84.550003"
"152","112576752089884","Sipsey, Alabama","33.823055","-87.086113"
"153","108332329190557","Garland, Texas","32.907299","-96.635201"
"154","103401199699809","Sharjah, United Arab Emirates","25.362200","55.391102"
"155","105449339489071","Bremerton, Washington","47.570000","-122.653000"
"156","105789409461096","Canterbury, Kent","51.266701","1.083330"
"157","106066949424984","Provo, Utah","40.240410","-111.663620"
"158","104044239632115","Batesville, Arkansas","35.769699","-91.640800"
"159","114990258511923","Quebec, Quebec","46.816700","-71.216698"
"160","107976589222439","Harrisburg, Pennsylvania","40.269798","-76.875603"
"161","111851895506967","Port Saint Lucie, Florida","27.275801","-80.355003"
"162","106057819434480","Salt Lake City, Utah","40.750000","-111.883301"
"163","105775436121898","Alpharetta, Georgia","34.073299","-84.281097"
"164","114759761873412","Mumbai, Maharashtra, India","18.975000","72.825798"
"165","114963951852473","Studio City, California","34.148602","-118.396004"
"166","113013485375759","Kingston upon Hull","53.744301","-0.332500"
"167","115106888501966","Tilburg, Netherlands","51.549999","5.116670"
"168","110586005629787","Pennsauken, New Jersey","39.956100","-75.058296"
"169","104019322968722","Plymouth, North Carolina","35.866699","-76.748901"
"170","110055275680056","Boiling Springs, South Carolina","35.043056","-81.975281"
"171","107992302563145","Columbia, Missouri","38.951698","-92.333900"
"172","103746086330491","Cuyahoga Falls, Ohio","41.145557","-81.496666"
"173","115508518460266","Aalborg, Denmark","57.049999","9.916700"
"174","114497808567786","Vancouver, British Columbia","49.250000","-123.099998"
"175","113254698687216","Montvale, Virginia","37.384399","-79.731400"
"176","103764742995575","Kansas City, Kansas","39.106800","-94.676498"
"177","108010312560935","Moreno Valley, California","33.943100","-117.227997"
"178","102195163155082","Trowbridge, Wiltshire","51.318901","-2.208610"
"179","109099069107840","Statesboro, Georgia","32.448601","-81.783302"
"180","108232912534127","Cedar Falls, Iowa","42.523335","-92.445831"
"181","112656832084367","West Chillington, West Sussex, United Kingdom","50.933300","-0.450000"
"182","109686199049779","Edmond, Oklahoma","35.657200","-97.464897"
"183","108954702458594","Glenview, Illinois","42.079399","-87.815598"
"184","106300959405546","Minneapolis, Minnesota","44.980099","-93.251900"
"185","107846582572194","Dunbar, Pennsylvania","39.977798","-79.614700"
"186","109920975697736","Belgrade, Serbia","44.820599","20.462200"
"187","109260552433646","Chapmanville, West Virginia","37.971668","-82.019997"
"188","108700782494847","Bristol, United Kingdom","51.450001","-2.583330"
"189","130998583631531","Portsmouth, England","53.733299","-2.150000"
"190","109281869089645","Great Malvern","52.116699","-2.316670"
"191","109066549111865","Stillwater, Oklahoma","36.123116","-97.068176"
"192","112371848779363","Santiago, Chile","-33.450001","-70.666702"
"193","104045032964460","Kitchener, Ontario","43.450001","-80.483299"
"194","109504735736132","Matthews, North Carolina","35.116943","-80.716393"
"195","114765928540927","Faizabad, Uttar Pradesh","26.780001","82.129997"
"196","106113019420619","Independence, Missouri","39.079800","-94.406502"
"197","111837995502320","Serra, Espirito Santo","-20.128901","-40.307800"
"198","108364785855057","London, Kentucky","37.128899","-84.083298"
"199","106123732752846","Stilwell, Oklahoma","35.814400","-94.628304"
"200","103451723028023","North Wales, Pennsylvania","40.210800","-75.278603"
"201","109506742412900","Rotterdam, Netherlands","51.916698","4.500000"
"202","113418425335430","Kitimat, British Columbia","54.000000","-128.699997"
"203","115351105145884","Cairo, Egypt","30.058100","31.228901"
"204","115963528414384","Houston, Texas","29.762899","-95.383202"
"205","109436565740998","Tulsa, Oklahoma","36.131302","-95.937302"
"206","108959662464762","Langwith, Nottinghamshire, United Kingdom","53.216702","-1.233330"
"207","108161062545219","Albuquerque, New Mexico","35.110699","-106.610001"
"208","110790522274760","Bridgetown, Barbados","13.100000","-59.616699"
"209","110868505604715","Geneva, Switzerland","46.200001","6.150000"
"210","103064173066684","Verbena, Alabama","32.749699","-86.511398"
"211","104034516300688","North Vancouver, British Columbia","49.317516","-123.062981"
"212","106270412737566","Colorado Springs, Colorado","38.863400","-104.792000"
"213","104275032945738","Wimborne, Dorset, United Kingdom","50.783298","-1.983330"
"214","109337749084976","Marshfield, Wisconsin","44.659870","-90.171844"
"215","109225712430256","Ellaville, Georgia","32.238888","-84.309441"
"216","110148382341970","Miami, Florida","25.787701","-80.224098"
"217","105470136154056","Saucier, Mississippi","30.625000","-89.138336"
"218","112205848794597","New Britain, Connecticut","41.668884","-72.778511"
"219","112204368792315","Irvine, California","33.684101","-117.792999"
"220","110292712322743","Golfe-Juan, Provence-Alpes-Cote D'Azur, France","43.566700","7.083330"
"221","112904572055581","Hartsville, South Carolina","34.369446","-80.080833"
"222","106076432757037","Bournemouth","50.720001","-1.880000"
"223","106442706060302","Pune, Maharashtra","18.520279","73.856667"
"224","104039339632793","Waukee, Iowa","41.608891","-93.865280"
"225","103818839656676","Lexington, Virginia","37.783901","-79.443100"
"226","118339311573368","Osaka-shi, Osaka, Japan","34.624699","135.130005"
"227","105630226138026","Gainesville, Florida","29.665199","-82.336098"
"228","112824578731846","Southport","53.666698","-3.000000"
"229","110521052305522","Queens, New York","40.704201","-73.917801"
"230","111165112241092","Vienna, Austria","48.201504","16.365875"
"231","106313309406070","Ludhiana, Punjab, India","30.900000","75.849998"
"232","113132652033783","Omaha, Nebraska","41.250000","-96.000000"
"233","106220079409935","Nashville, Tennessee","36.165798","-86.784401"
"234","104104589625122","Sioux Falls, South Dakota","43.536301","-96.731796"
"235","109925612366788","Redondo Beach, California","33.856499","-118.376999"
"236","112867052061380","Sumas, Washington","48.997223","-122.265556"
"237","114773158534493","Mérida, Yucatan","20.969439","-89.622002"
"238","100241110016983","Baia Mare, Maramures, Romania","47.666698","23.583300"
"239","104006346303593","Louisville, Kentucky","38.228901","-85.749496"
"240","109617119065044","Natchez, Mississippi","31.554399","-91.387604"
"241","111689675523219","Borås, Sweden","57.716702","12.916700"
"242","107575592605580","Fountain, Colorado","38.687168","-104.701370"
"243","104065036297923","West Point, New York","41.370899","-74.042900"
"244","112449675437281","Anaheim, California","33.836201","-117.889999"
"245","112275862121645","Tyre, Lebanon","33.271099","35.196400"
"246","107867302576191","Youghal","51.953423","-7.848876"
"247","104037239633293","Oak Harbor, Washington","48.294998","-122.658607"
"248","106176096080834","Cavaglià","45.400002","8.083330"
"249","111948785483165","Cupertino, California","37.317501","-122.042000"
"250","106074992765214","Virginia Beach, Virginia","36.834499","-76.087196"
"251","105478616151889","Logandale, Nevada","36.596699","-114.483002"
"252","105709236129219","Hayesville, North Carolina","35.046665","-83.817780"
"253","108137335885387","Cape Town, Western Cape","-33.925301","18.423901"
"254","112140932146217","Petaling Jaya, Malaysia","3.083330","101.650002"
"255","114401951910209","Saint Catharines, Ontario","43.166698","-79.233299"
"256","105496622817769","Sandy, Utah","40.572399","-111.860001"
"257","112091112137022","Sioux City, Iowa","42.498055","-96.395836"
"258","108173265878171","Medford, Oregon","42.332001","-122.862000"
"259","105631306137709","Lanai City, Hawaii","20.827499","-156.921951"
"260","108078335886887","Roorkee","29.866699","77.883301"
"261","115650661782482","Oklahoma City, Oklahoma","35.482300","-97.535004"
"262","115085015172389","Moscow, Russia","55.752201","37.615601"
"263","109419232410281","Newport Beach, California","33.616699","-117.898003"
"264","112763262068685","Waterloo, Ontario","43.466702","-80.533302"
"265","105574016143908","Elizabeth, New Jersey","40.662201","-74.209099"
"266","116076341736200","Cincinnati, Ohio","39.136200","-84.503098"
"267","110997062258309","Swansea, United Kingdom","51.616699","-3.950000"
"268","113050022043143","Ipswich, Queensland","-27.616699","152.766998"
"269","106330572737890","Semarang, Indonesia","-6.966670","110.417000"
"270","106040022769888","Cancún, Quintana Roo","21.160601","-86.847504"
"271","107811799248167","Newcastle, Ontario","43.918072","-78.583038"
"272","106176786079428","Salem, Oregon","44.931099","-123.028999"
"273","106018072762405","Galax, Virginia","36.661098","-80.924202"
"274","108081209214649","Las Vegas, Nevada","36.174999","-115.136398"
"275","110184922344060","Washington, District of Columbia","38.895100","-77.036697"
"276","112280128788125","Guthrie, Oklahoma","35.856388","-97.435837"
"277","104861369550154","Prospect, Tennessee","35.036991","-87.007996"
"278","100245043351197","Suffolk County, New York","41.032700","-72.208000"
"279","111326725552547","Saint Petersburg, Florida","27.770599","-82.679398"
